Time resolution is 1 ps
Block Memory Generator module hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_5 collision detected at time: 7193390000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193400000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193410000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193420000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193430000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193440000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193450000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193460000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193470000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193480000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193490000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193500000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193510000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193520000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193530000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193540000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193550000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193560000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193570000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193580000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193590000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193600000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193610000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193620000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193630000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193640000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193650000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193660000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193670000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193680000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193690000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193700000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193710000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193720000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193730000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193740000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193750000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193760000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193770000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193780000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193790000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193800000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193810000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193820000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193830000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193840000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193850000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193860000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193870000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193880000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193890000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193900000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7193910000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225280000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225290000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225300000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225310000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225320000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225330000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225340000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225350000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225360000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225370000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225380000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225390000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225400000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225410000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225420000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225430000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225440000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225450000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225460000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225470000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225480000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225490000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225500000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225510000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225520000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225530000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225540000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225550000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225560000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225570000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225580000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225590000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225600000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
blk_mem_gen_v8_4_5 collision detected at time: 7225610000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 257, B read address: 257
